Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral,Category
133248,"46.69310,8.80050",1860,Unknown,Tundra,Plagioclase,FELDSPAT
191420,"47.51918,7.65339",400,Quarry,Temperate oceanic climate,Fluorite,SONSTIGE
29216,"46.08909,7.10774",1313,Unknown,Tundra,Brochantite,SILICATE
134086,"46.23765,7.63596",2553,Mine (Abandoned) - last checked 2020,Tundra,Chalcanthite,SULFATE_UND_HYDROXIDE
7758,"46.69243,8.70162",2411,Valley,Tundra,Phenakite,SILICATE
49520,"47.05762,9.45112",493,Mine,Temperate oceanic climate,Manganese-bearing Calcite,CALCIT
188750,"47.56519,8.34761",392,Quarry,Temperate oceanic climate,Baryte,CARBONATE
23066,"46.21007,7.82152",1210,Group of Quarries,Tundra,Chlorite,CHLORIT
191448,"46.83639,8.36056",1543,Mountain,Subarctic climate,Fluorite,SONSTIGE
14685,"46.16583,7.72333",2807,Glacier,Tundra,Nsutite,SILICATE
359484,"46.30192,10.03446",1616,Quarry,Tundra,Forsterite,SILICATE
260759,"46.78417,8.87472",2024,Occurrence,Tundra,Hematite,SULFIDE
134128,"46.81861,7.21806",647,Meteorite Fall Location,Temperate oceanic climate,Fayalite-Forsterite Series,PYROXENE
134064,"46.00241,7.75193",2247,Mountain,Tundra,Bravoite,OXIDE
31871,"46.32028,7.75500",850,Tunnel,Tundra,Cannizzarite,SILICATE
288517,"47.35819,7.65606",954,Pass,Temperate oceanic climate,Baryte,CARBONATE
191744,"47.46219,8.23824",360,Pit,Temperate oceanic climate,Gypsum,SULFATE_UND_HYDROXIDE
134431,"46.29806,9.57389",2776,Mountain,Tundra,Cordierite,SILICATE
246069,"46.79825,9.70315",1453,Deposit,Tundra,Caryopilite,SERPENTIN
191762,"46.53750,7.44722",2213,Unknown,Temperate oceanic climate,Nesquehonite,SILICATE
134450,"46.26236,6.89469",1949,Mountain,Temperate oceanic climate,Diaspore,CALCIT
157683,"45.98903,7.80267",3268,Ridge,Subarctic climate,Lazulite,OXIDE
257497,"46.56250,9.68028",2493,Unknown,Tundra,Chlorite,CHLORIT
191714,"47.54061,8.60555",709,Mountain Range,Temperate oceanic climate,Pyrite,SULFIDE
286047,"46.24140,7.02152",548,Unknown,Tundra,Sceptre Quartz,QUARTZ
191391,"46.93877,10.43253",2548,Unknown,Tundra,Epidote,SILICATE
426830,"46.95053,7.49473",615,Quarry,Temperate oceanic climate,Berner Sandstein,QUARTZ
56465,"46.93123,6.65697",766,Mine,Temperate oceanic climate,Petroleum,SULFATE_UND_HYDROXIDE
134121,"46.93333,7.21667",509,Meteorite Fall Location,Temperate oceanic climate,Pyroxene,PYROXENE
188749,"47.43491,8.06169",610,Pass,Temperate oceanic climate,Pyrite,SULFIDE
29353,"46.57167,8.83000",3167,Mountain,Tundra,Danburite,EDELSTEINE
134415,"46.18940,7.05935",1666,Unknown,Tundra,Berthierite,PHOSPHATE
134031,"46.68513,8.85747",1140,Gorge,Tundra,Cerussite,PHOSPHATE
22954,"46.56128,8.33670",2163,Pass,Subarctic climate,Chlorite,CHLORIT
191618,"47.74798,8.68782",476,Quarry,Temperate oceanic climate,Melanterite,SULFATE_UND_HYDROXIDE
191619,"47.36310,7.23463",566,Unknown,Temperate oceanic climate,Limonite,SULFATE_UND_HYDROXIDE
31869,"46.07960,7.87880",3334,Occurrence,Tundra,Brochantite,SILICATE
191934,"47.39830,7.17893",595,Quarry (Active) - last checked 2019,Temperate oceanic climate,Pyrolusite,SULFIDE
134463,"46.49888,9.61619",2273,Unknown,Tundra,Bravoite,OXIDE
134440,"46.42013,8.49978",2431,Unknown,Subarctic climate,Muscovite,SILICATE
417931,"46.47403,9.11971",2721,Outcrop,Subarctic climate,Paragonite,GLIMMER
134455,"46.67140,8.78450",1386,Valley,Tundra,Anatase,RUTIL
56466,"46.32489,6.88858",512,Quarry,Temperate oceanic climate,Anilite,SULFIDE
242510,"46.57627,8.75081",2909,Unknown,Tundra,Quartz,QUARTZ
155814,"46.49994,8.49958",1468,Hamlet,Subarctic climate,Cannizzarite,SILICATE
188650,"47.36649,7.22712",596,Unknown,Temperate oceanic climate,Chalcedony,QUARTZ
157670,"45.98333,7.78500",3105,Ridge,Subarctic climate,Zoisite,PHOSPHATE
265486,"46.56936,8.45579",2633,Mountain Area,Subarctic climate,Bertrandite,PHOSPHATE
134484,"47.05641,7.62489",568,Unknown,Temperate oceanic climate,Brushite,QUARTZ
7685,"46.29500,9.11361",885,Group of Quarries,Subarctic climate,Fluorapophyllite,QUARTZ
417317,"46.44525,8.27623",2158,Alpine Pasture,Subarctic climate,Zircon,ALUMINIUM_SILIKATE
134122,"47.13338,7.14407",1335,Meteorite Fall Location,Temperate oceanic climate,Iron,METALLE_UND_LEGIERUNGEN
134509,"47.02833,8.62111",548,Quarry,Temperate oceanic climate,Baryte,CARBONATE
131013,"46.23728,7.85210",1473,Deposit,Tundra,Arsenopyrite,PHOSPHATE
134375,"46.01654,7.84767",3261,Mountain,Tundra,Kyanite,ALUMINIUM_SILIKATE
29366,"47.18167,7.25167",616,Quarry,Temperate oceanic climate,Marcasite,SULFIDE
