Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral
191657,"46.62694,10.25028",2620,Mountain,Tundra,Baryte
193400,"47.23570,7.47418",771,Pit,Temperate oceanic climate,Smythite
35157,"46.53889,8.51944",2908,Peak,Tundra,Chlorite
188916,"46.58829,8.83169",2689,Mountain,Tundra,Chlorite
217957,"46.27743,8.57602",2183,Mountain,Subarctic climate,Piemontite
191702,"46.53052,8.83140",1777,Unknown,Tundra,Tschermakite
246463,"46.01441,8.86157",571,Unknown,Subarctic climate,Cerussite
105794,"46.67417,8.64195",2821,Mountain,Tundra,Milarite
68879,"46.17194,7.37083",2293,Unknown,Tundra,Fergusonite
13708,"46.29657,8.61876",388,Group of Quarries,Subarctic climate,Fluorapophyllite
188868,"46.62671,9.40756",1508,Unknown,Tundra,Quartz
134460,"46.55292,9.64135",1868,Deposit,Tundra,Piemontite
191395,"46.24131,9.07996",564,Valley,Subarctic climate,Arsenopyrite
191593,"46.83287,9.80500",2657,Pass,Tundra,Fayalite-Forsterite Series
3213,"46.64417,8.70917",1673,Gorge,Tundra,Digenite
193402,"46.70917,8.98972",2008,Mountain,Tundra,Chalcedony
133214,"46.42228,9.78369",2325,Deposit,Tundra,Manganese-bearing Calcite
4633,"46.26833,8.08583",3007,Unknown,Subarctic climate,Chlorite
188628,"46.73722,9.22972",1076,Occurrence,Tundra,Cerussite
193419,"46.70112,7.21319",1215,Gorge,Temperate oceanic climate,Amber
3222,"46.43306,8.77694",2871,Mountain,Subarctic climate,Sillimanite
22190,"46.54639,9.46222",2153,Mine,Tundra,Kutnohorite
188955,"46.22722,9.04778",255,Unknown,Subarctic climate,Chlorite
134503,"46.97943,8.24876",1816,Mountain Range,Subarctic climate,Baryte
134619,"46.53444,9.46444",2808,Mountain,Tundra,Digenite
134020,"46.47798,8.57711",2253,Lake,Subarctic climate,Chlorite
191716,"47.67761,8.49284",525,Hill,Temperate oceanic climate,Pyrite
193529,"46.63452,8.62629",1916,Unknown,Tundra,Sillimanite
191766,"46.54128,8.18136",3325,Unknown,Subarctic climate,Quartz
193420,"46.69538,7.87787",600,Village,Temperate oceanic climate,Oil Quartz
250005,"47.34556,7.88167",404,Unknown,Temperate oceanic climate,Silex
134097,"46.16188,7.60264",2012,Mine,Tundra,Azurite
191418,"46.07973,7.13043",723,Mine,Tundra,Hemimorphite
143364,"46.11389,7.33000",2314,Unknown,Tundra,Gasparite
188630,"46.34167,9.61056",1179,Gully,Tundra,Uraninite
191945,"46.84084,9.43908",694,Unknown,Tundra,Dravite
193533,"46.97856,9.25316",1960,Unknown,Tundra,Uraninite
3211,"46.55333,9.64694",2143,Mine (Abandoned) - last checked 2023,Tundra,Chalcedony
16292,"46.22525,7.17897",1809,Unknown,Tundra,Chlorite
133230,"46.49685,9.64947",1935,Occurrence,Tundra,Ferro-actinolite-Tremolite Series
341186,"46.42847,9.63701",2340,Deposit,Tundra,Bravoite
245669,"46.84876,9.44671",1106,Prospect,Tundra,Cerussite
188746,"47.37413,7.88002",606,Pit,Temperate oceanic climate,Marcasite
29322,"46.84778,9.43667",1244,Mine,Tundra,Cerussite
341185,"46.39012,9.65378",1827,Slag Locality,Tundra,Fayalite-Forsterite Series
193405,"46.74969,8.66658",1523,Mine,Tundra,Stannite
57442,"46.56406,8.63472",2692,Unknown,Tundra,Apatite
123472,"46.44914,8.26452",1629,Valley,Subarctic climate,Zircon
424885,"46.68782,7.35603",1232,Scree Slope,Temperate oceanic climate,Baryte
108068,"46.61395,8.56666",1694,Quarry,Tundra,Magnesite
134448,"46.23500,7.71194",1760,Alluvials,Tundra,Sperrylite
133204,"46.59078,8.80375",1809,Mountain,Tundra,Zircon
417927,"46.39129,9.17631",2321,Mountain,Subarctic climate,Magnesite
134446,"46.86266,9.47086",1568,Unknown,Tundra,Stibiconite
191625,"46.15111,7.45389",1045,Unknown,Tundra,Cerussite
157668,"46.04136,7.81551",2695,Valley,Tundra,Schorl
253255,"46.10945,7.54897",3049,Mountain,Tundra,Pumpellyite
133991,"46.56409,8.59571",2287,Lake,Tundra,Fluorapatite
302686,"46.26714,9.20413",1168,Unknown,Subarctic climate,Anorthite
191675,"46.45118,8.61345",2606,Unknown,Subarctic climate,Magnesite
191783,"46.44924,8.53932",2389,Lake,Subarctic climate,Andesine
122681,"46.68711,9.53261",914,Outcrop,Tundra,Marcasite
134118,"47.06448,9.18338",1878,Mine (Inactive) - last checked 2020,Temperate oceanic climate,Cerussite
245916,"46.33460,10.00786",2293,Mountain Area,Tundra,Byssolite
193072,"46.90997,8.59183",430,Unknown,Tundra,Riebeckite
134528,"47.32306,9.53417",603,Cave,Temperate oceanic climate,Fluorite
191700,"46.35083,9.62167",1072,Village,Tundra,Beryl
43246,"46.22449,7.71244",1771,Valley,Tundra,Nsutite
191916,"46.52219,8.87403",1417,Unknown,Tundra,Tourmaline
188953,"46.77767,10.26068",1434,Unknown,Tundra,Dolomite
69716,"45.95156,8.92502",637,Quarry,Temperate oceanic climate,Phenakite
263790,"47.14145,9.52434",528,Road,Temperate oceanic climate,Calcite
106974,"46.61250,8.41694",3482,Mountain,Subarctic climate,Quartz
28873,"46.65983,8.72062",1532,Unknown,Tundra,Crichtonite
157671,"45.98139,7.75806",2740,Mountain,Subarctic climate,Chrysocolla
253688,"46.13195,7.85802",3433,Glacier,Tundra,Arsenopyrite
191711,"46.02617,7.48203",1993,Valley,Tundra,Stilbite
134067,"46.30197,10.02993",1757,Hamlet,Tundra,Brochantite
